timestamp,mark_price,avg_entry,size,margin_usdt,pnl_usdt,roe_pct
2026-07-18T21:42:09.023040,0.18657,0.19543,35379,660.07,-313.74,-47.53
2026-07-18T21:43:21.201956,0.18657,0.19543,35379,660.07,-313.74,-47.53
2026-07-18T22:06:37.714348,0.18766,0.1954380106843042,35379.0,6639.2231,-275.1782,-0.4122816064505011,,10
